prod_ai,drug_name,eu_num,hum_or_vet,procedure_type
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",KarHleight,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Katya,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Katya 30/75,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Kontracept,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Kosima STADA,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Kostya,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Kylnetta ED,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",LAURINA,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",LERNA,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",LETHE,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",LIOSANNE 20,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",LIOSANNE 30,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",LIUDA,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",LLUVIANE,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",LUCILLE,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",LUNAFEM,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",LUSINE,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",LUSINELLE,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",LUTIZ,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",LaBibiane,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",LaViola,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",LaYaisa,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",LaYanina,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",LaYanina 28,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",LaYnes,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",LaYva,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Lamdanogest,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Lamiva,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Lamuna 20,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Lamuna 30,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Larissa,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Laurina 28,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Lenea,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Lenisagyn 1 A Pharma,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Lesine,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Lesinelle,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Lesiplus,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Lestramyl,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Leticia,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Leticia 28,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Letione 28,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Libeli,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Liberel,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Liberel mite,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Liladros,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Lilas,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Linatera,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Lindynette,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Lindynette 20,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Lindynette 30,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Liofora,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Liofora 28,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Liofora Diario,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Lisa,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Lisette,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Lizinna,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",LluviEight,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Logest,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Lonicera beta,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Louise,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Lovelle,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Lovette ED,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Lulina,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Lunytta,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Lunytteight,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",MADELEINE,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",MADINELLE,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",MAITALON,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",MAITALON 20,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",MAITALON 30,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",MARIONELLE,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",MARVELON 21,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",MELTEVA,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",MICRODIOL,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",MINAYEIGHT,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",MIRABELLA,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",MISTRAL,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",MISTRAL Continuous,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",MYWY,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Madinette,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Madinette 30,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Mandolina,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Marvelon,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Marvelon 28,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Marviol,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Mayra,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Meliane,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Meliane Diario,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Melitta,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Mellow ratiopharm,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Melodene,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Melodia,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Mercillon,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Mercilon 28,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Mesilara,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Microgeste,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Midiana,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Milligest,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Millinette ED,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Milna,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Milvane,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Minero,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Minesse,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Minette,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Minigeste,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Minkian,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Minulet,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Mirelle,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Mirtinu,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Mistra,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Modina,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Mona HEXAL,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Moneva,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Motion ratiopharm,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Movinella,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Movinella 21,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Movinella 28,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Myrzi,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Myrzi 28,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",NAVEEN,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",NELYA,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",NORGESTIMAT/ETINILESTRADIOL FAMY CARE,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",NORGESTIMATE/ETHINYLESTRADIOL FAMYCARE,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",NOVYNETTE CONTINUOUS,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",NOVYNETTE CONTINUU,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",NYSSIELA,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Naiwanel,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Naiwanel 28,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Nanami,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Nanette,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Nannina,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Naraya,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Naraya Plus,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Narayeight,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Natalya,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Nelecta,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Neo-Eunomin,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Novantica 150/20,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Novial,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Novynette,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Novynette 28,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Novynette Plus,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Novypil 28,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",NuvaRing,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",NuvaRing vaginales Freisetzungssystem,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",ORCHIDEA,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Optinesse 60/15,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Ospen,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Ospen 28,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Ovulastan,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Ovulastan Forte,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Ovulasten 20,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Ovulasten 30,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",PLANUM,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",PRACTIL,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",PRAMINO 28,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",PYRLA,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",PYRLA CONTINUOUS,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Palandra,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Pea,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Pearline,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Pearly,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Peliette,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Perleane,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Perlita,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Perlkala,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Petibelle,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Phaenya 21,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Phaenya 28,,Human,Referral
"chlormadinone, desogestrel, dienogest, drospirenone, etonogestrel, gestodene, nomegestrol, norelgestromin or norgestimate in combination with an oestrogen",Phaenyela 21,,Human,Referral
